[30Nov2024 01:00:30.270] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[30Nov2024 01:00:30.274] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 21.0.4 by Microsoft; OS Linux arch amd64 version 6.5.0-1025-azure
[30Nov2024 01:00:31.585] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[30Nov2024 01:00:31.598] [main/INFO] [optifine.OptiFineTransformationService/]: OptiFineTransformationService.onLoad
[30Nov2024 01:00:31.599] [main/INFO] [optifine.OptiFineTransformationService/]: OptiFine ZIP file URL: union:/workspaces/Servidor1/servidor_minecraft/mods/OptiFine_1.20.1_HD_U_I6.jar%23215!/
[30Nov2024 01:00:31.606] [main/INFO] [optifine.OptiFineTransformationService/]: OptiFine ZIP file: /workspaces/Servidor1/servidor_minecraft/mods/OptiFine_1.20.1_HD_U_I6.jar
[30Nov2024 01:00:31.608] [main/INFO] [optifine.OptiFineTransformer/]: Target.PRE_CLASS is available
[30Nov2024 01:00:31.656] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/Servidor1/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[30Nov2024 01:00:31.664] [main/INFO] [optifine.OptiFineTransformationService/]: OptiFineTransformationService.initialize
[30Nov2024 01:00:32.083] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Servidor1/servidor_minecraft/libraries/net/minecraftforge/fmlcore/1.20.1-47.3.7/fmlcore-1.20.1-47.3.7.jar is missing mods.toml file
[30Nov2024 01:00:32.083] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Servidor1/servidor_minecraft/libraries/net/minecraftforge/javafmllanguage/1.20.1-47.3.7/javafmllanguage-1.20.1-47.3.7.jar is missing mods.toml file
[30Nov2024 01:00:32.084] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Servidor1/servidor_minecraft/libraries/net/minecraftforge/lowcodelanguage/1.20.1-47.3.7/lowcodelanguage-1.20.1-47.3.7.jar is missing mods.toml file
[30Nov2024 01:00:32.085] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Servidor1/servidor_minecraft/libraries/net/minecraftforge/mclanguage/1.20.1-47.3.7/mclanguage-1.20.1-47.3.7.jar is missing mods.toml file
[30Nov2024 01:00:32.340] [main/WARN] [net.minecraftforge.jarjar.selection.JarSelector/]: Attempted to select two dependency jars from JarJar which have the same identification: Mod File:  and Mod File: . Using Mod File: 
[30Nov2024 01:00:32.345] [main/WARN] [net.minecraftforge.jarjar.selection.JarSelector/]: Attempted to select a dependency jar for JarJar which was passed in as source: resourcefullib. Using Mod File: /workspaces/Servidor1/servidor_minecraft/mods/resourcefullib-forge-1.20.1-2.1.29.jar
[30Nov2024 01:00:32.346] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: Found 11 dependencies adding them to mods collection
[30Nov2024 01:00:32.922] [main/INFO] [optifine.OptiFineTransformationService/]: OptiFineTransformationService.transformers
[30Nov2024 01:00:32.932] [main/INFO] [optifine.OptiFineTransformer/]: Targets: 412
[30Nov2024 01:00:33.527] [main/INFO] [optifine.OptiFineTransformationService/]: additionalClassesLocator: [optifine., net.optifine.]
[30Nov2024 01:00:35.565] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[30Nov2024 01:00:35.892] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments []
[30Nov2024 01:00:35.906] [main/WARN] [mixin/]: Reference map 'naturalist-forge-forge-refmap.json' for naturalist.mixins.json could not be read. If this is a development environment you can ignore this message
[30Nov2024 01:00:36.012] [main/WARN] [mixin/]: Reference map 'morevillagers-forge-forge-refmap.json' for morevillagers.mixins.json could not be read. If this is a development environment you can ignore this message
[30Nov2024 01:00:36.052] [main/WARN] [mixin/]: Reference map 'graveyard-FORGE-forge-refmap.json' for graveyard-forge.mixins.json could not be read. If this is a development environment you can ignore this message
[30Nov2024 01:00:36.064] [main/WARN] [mixin/]: Reference map 'mixins.shineals_prehistoric_expansion.refmap.json' for mixins.shineals_prehistoric_expansion.json could not be read. If this is a development environment you can ignore this message
[30Nov2024 01:00:36.066] [main/WARN] [mixin/]: Reference map 'mixins.boh.refmap.json' for mixins.boh.json could not be read. If this is a development environment you can ignore this message
[30Nov2024 01:00:36.083] [main/WARN] [mixin/]: Reference map 'coroutil.refmap.json' for coroutil.mixins.json could not be read. If this is a development environment you can ignore this message
[30Nov2024 01:00:36.151] [main/INFO] [Puzzles Lib/]: Loading 120 mods:
	- aiimprovements 0.5.2
	- alexscaves 2.0.2
	- alexsmobs 1.22.9
	- apotheosis 7.4.3
	- appleskin 2.5.1+mc1.20.1
	- architectury 9.2.14
	- artifacts 9.5.13
		\-- expandability 9.0.4
	- attributeslib 1.3.7
	- balm 7.3.9
		\-- kuma_api 20.1.8
	- boh 0.0.7
	- born_in_chaos_v1 1.4
	- brutalbosses 1.20.1-6.3
	- carryon 2.1.2.7
	- cataclysm 2.16
	- cfm 7.0.0-pre36
	- citadel 2.6.0
	- cloth_config 11.1.136
	- clumps 12.0.0.4
	- collective 7.87
	- constructionwand 1.20.1-2.11
	- coroutil 1.20.1-1.3.7
	- corpse 1.20.1-1.0.12
	- cosmeticarmorreworked 1.20.1-v1a
	- creeperoverhaul 3.0.2
	- crittersandcompanions 2.2.1
	- cupboard 1.20.1-2.7
	- curios 5.11.0+1.20.1
	- darkmobs 1.0.6
	- dummmmmmy 1.20-2.0.2
	- dungeoncrawl 2.3.14
	- dungeons_arise 2.1.58-1.20.x
	- easy_villagers 1.20.1-1.1.23
	- endermanoverhaul 1.0.4
	- enderzoology 8.0.2
	- endrem 5.3.3-R-1.20.1
	- enemyexpansion 2.3.1
	- enhancedai 2.5.2
	- farmersdelight 1.20.1-1.2.4
	- fastbench 8.0.4
	- fastfurnace 8.0.2
	- ferritecore 6.0.1
	- forge 47.3.7
	- framework 0.7.11
	- fromtheshadows 2.7
	- geckolib 4.4.9
	- gobber2 2.8.9
	- goblintraders 1.9.3
	- graveyard 3.1
	- harderfarther 46.29.1
	- harderspawners 46.25.3
	- hmag 9.0.24
	- hostilevillages 1.20.1-5.7
	- iceandfire 2.1.13-1.20.1
	- illageandspillage 1.2.2
	- immersive_melodies 0.3.0+1.20.1
	- improvedmobs 1.20.1-1.13.0
	- incendium 5.3.5
	- infernalmobs 1.20.1.3
	- insanelib 1.15.0
	- inventorysorter 23.0.1
	- iron_ender_chests 1.20-1.0.3
	- ironchest 1.20.1-14.4.4
	- jade 11.12.1+forge
	- javd 5.0.1+mc1.20.1
	- jeed 1.20-2.2.2
	- jeg 0.4.0
	- jei 15.20.0.105
	- jeresources 1.4.0.247
	- lionfishapi 1.9
	- luminous_beasts 1.2
	- majruszlibrary 7.0.8
	- majruszsdifficulty 1.9.10
	- minecraft 1.20.1
	- mob_grinding_utils 1.20.1-1.1.0
	- mobspropertiesrandomness 4.10.13
	- moonlight 1.20-2.13.18
	- morevillagers 5.0.0
	- mousetweaks 2.25.1
	- mowziesmobs 1.6.4
	- mr_mine_treasure 1.3.2
	- mr_stellarity 2.0d
	- mutantmonsters 8.0.7
	- naturalist 4.0.3
	- pipez 1.20.1-1.2.16
	- placebo 8.6.2
	- progressivebosses 4.2.1-mc1.20.1
	- puzzleslib 8.1.24
		\-- puzzlesaccessapi 8.0.7
	- randommobeffects 3.4
	- repurposed_structures 7.1.15+1.20.1-forge
	- resourcefulconfig 2.1.2
	- resourcefullib 2.1.29
	- scalinghealth 8.0.2+9
	- scguns 0.3.2.5
	- shineals_prehistoric_expansion 1.4
	- silentgear 3.6.6
	- silentgems 4.7.0
	- silentlib 8.0.0
	- sons_of_sins 2.1.4.
	- sophisticatedbackpacks 3.20.11.1115
	- sophisticatedcore 0.6.34.718
	- structure_gel 2.16.2
	- supermartijn642configlib 1.1.8
	- supermartijn642corelib 1.1.17+a
	- tameablebeasts 6.2
	- tenshilib 1.20.1-1.7.6
	- the_bumblezone 7.5.0+1.20.1-forge
		|-- athena 3.1.1
		\-- mixinextras 0.4.1
	- tpa 1.5.0
	- trashcans 1.0.18b
	- trenzalore 3.3.10
	- ultris_mr 5.6.9c
	- undead_revamp2 1.0.0
	- under_the_moon 1.0.5
	- watut 1.20.1-1.1.3
	- waystones 14.1.6
	- weaponmaster_ydm 4.2.3
[30Nov2024 01:00:36.585] [main/INFO] [net.minecraftforge.coremod.CoreMod.placebo/COREMODLOG]: Patching IForgeItemStack#getEnchantmentLevel
[30Nov2024 01:00:36.607] [main/INFO] [net.minecraftforge.coremod.CoreMod.placebo/COREMODLOG]: Patching IForgeItemStack#getEnchantmentLevel
[30Nov2024 01:00:36.803] [main/INFO] [net.minecraftforge.coremod.CoreMod.apotheosis/COREMODLOG]: Replaced 2 calls to Enchantment#getMaxLevel() in net/minecraft/world/inventory/AnvilMenu
[30Nov2024 01:00:36.827] [main/WARN] [mixin/]: Error loading class: org/violetmoon/quark/content/tweaks/module/GoldToolsHaveFortuneModule (java.lang.ClassNotFoundException: org.violetmoon.quark.content.tweaks.module.GoldToolsHaveFortuneModule)
[30Nov2024 01:00:36.829] [main/INFO] [net.minecraftforge.coremod.CoreMod.placebo/COREMODLOG]: Patching IForgeItemStack#getEnchantmentLevel
[30Nov2024 01:00:36.831] [main/INFO] [net.minecraftforge.coremod.CoreMod.placebo/COREMODLOG]: Patching IForgeItemStack#getEnchantmentLevel
[30Nov2024 01:00:36.841] [main/WARN] [mixin/]: Error loading class: com/hollingsworth/arsnouveau/common/items/SpellCrossbow (java.lang.ClassNotFoundException: com.hollingsworth.arsnouveau.common.items.SpellCrossbow)
[30Nov2024 01:00:37.448] [main/INFO] [net.minecraftforge.coremod.CoreMod.apotheosis/COREMODLOG]: Patching FishingHook#catchingFish
